id	name	elem	nat
30014	51LV3R	l	5
30013	570RM	n	5
30012	7R1X	f	5
10133	Aeilene	n	2
34212	Agrenia	f	5
34112	Agrius	f	4
30114	Alesia	l	4
15231	Allen	w	2
14902	Amazon	f	3
14901	Amazon	w	3
14904	Amazon	l	3
14905	Amazon	d	3
29611	Anders	w	5
11733	Anduril	n	3
14202	Angelmon	f	1
14201	Angelmon	w	1
14203	Angelmon	n	1
14205	Angelmon	d	1
14204	Angelmon	l	1
20402	Anubis	f	4
20403	Anubis	n	4
20401	Anubis	w	4
20404	Anubis	l	4
20405	Anubis	d	5
34611	Aragorn	w	5
34612	Aragorn	f	5
34613	Aragorn	n	4
34614	Aragorn	l	4
34615	Aragorn	d	5
29814	Arcana	l	4
34001	Arcane Weapon	w	5
34002	Arcane Weapon	f	5
34003	Arcane Weapon	n	5
34004	Arcane Weapon	l	5
34005	Arcane Weapon	d	5
17002	Archangel	f	5
17003	Archangel	n	5
17001	Archangel	w	5
17004	Archangel	l	5
17005	Archangel	d	5
34214	Arella	l	5
23701	Art Master	w	5
23702	Art Master	f	5
23703	Art Master	n	5
23704	Art Master	l	5
23705	Art Master	d	5
34115	Asbolus	d	4
19902	Assassin	f	4
19901	Assassin	w	4
19903	Assassin	n	4
19904	Assassin	l	4
19905	Assassin	d	4
28501	Asura	w	4
28502	Asura	f	4
28503	Asura	n	4
28504	Asura	l	4
28505	Asura	d	4
18802	Barbaric King	f	4
18803	Barbaric King	n	4
18801	Barbaric King	w	4
18804	Barbaric King	l	4
18805	Barbaric King	d	4
26101	Battle Angel	w	5
26102	Battle Angel	f	5
26103	Battle Angel	n	5
26104	Battle Angel	l	5
26105	Battle Angel	d	5
19002	Battle Mammoth	f	3
19001	Battle Mammoth	w	3
19003	Battle Mammoth	n	3
19004	Battle Mammoth	l	3
19005	Battle Mammoth	d	3
17602	Battle Scorpion	f	2
17601	Battle Scorpion	w	2
17603	Battle Scorpion	n	2
13704	Bearman	l	3
13705	Bearman	d	3
18501	Beast Hunter	w	3
18503	Beast Hunter	n	3
